Phase,Category,Quantity,Card Name,Estimated Price (USD),Total Cost,Notes
"Phase 1: Core Manabase","Fetchland",4,"Flooded Strand","$25","$100","W/U fetch - used in all WUB/x decks"
"Phase 1: Core Manabase","Fetchland",4,"Marsh Flats","$22","$88","W/B fetch - used in all WUB/x decks"
"Phase 1: Core Manabase","Fetchland",4,"Polluted Delta","$28","$112","U/B fetch - used in all WUB/x decks"
"Phase 1: Core Manabase","Shockland",2,"Watery Grave","$12","$24","U/B shock"
"Phase 1: Core Manabase","Shockland",2,"Hallowed Fountain","$12","$24","W/U shock"
"Phase 1: Core Manabase","Shockland",2,"Godless Shrine","$12","$24","W/B shock"
"Phase 1: Core Manabase","Land",1,"Island","$1","$1","Basic"
"Phase 1: Core Manabase","Land",1,"Swamp","$1","$1","Basic"
"Phase 1: Core Manabase","Land",1,"Plains","$1","$1","Basic"
"Phase 2: Core Creatures","Creature",4,"Quantum Riddler","$18","$72","Format staple - 8+ top decks"
"Phase 2: Core Creatures","Creature",4,"Solitude","$15","$60","Format staple - 6+ top decks"
"Phase 2: Core Spells","Sorcery",4,"Ephemerate","$8","$32","Blink engine - 5+ top decks"
"Phase 2: Core Spells","Sorcery",4,"Thoughtseize","$12","$48","Universal black staple"
"Phase 2: Core Spells","Instant",4,"Fatal Push","$5","$20","Removal staple - 6+ top decks"
"Phase 2: Core Spells","Instant",3,"Prismatic Ending","$3","$9","Removal staple - 4+ top decks"
"Phase 2: Core Planeswalkers","Planeswalker",2,"Teferi, Time Raveler","$25","$50","Control staple - 4+ top decks"
"Phase 2: Core Planeswalkers","Planeswalker",1,"Teferi, Hero of Dominaria","$8","$8","Late game value"
"Phase 3: Esper Blink Completion","Creature",2,"Overlord of the Balemurk","$3","$6","Blink target"
"Phase 3: Esper Blink Completion","Creature",2,"Skyclave Apparition","$4","$8","Blink target / removal"
"Phase 3: Esper Blink Completion","Creature",1,"Archon of Cruelty","$15","$15","Reanimator target / blink target"
"Phase 3: Esper Blink Completion","Instant",2,"Force of Negation","$22","$44","Free counter - 5+ top decks"
"Phase 3: Esper Blink Completion","Instant",2,"Counterspell","$3","$6","Hard counter"
"Phase 3: Esper Blink Completion","Instant",2,"Spell Snare","$2","$4","Efficient counter"
"Phase 3: Esper Blink Completion","Sorcery",2,"Faithful Mending","$3","$6","Card selection / graveyard"
"Phase 3: Esper Blink Completion","Enchantment",1,"The Wandering Emperor","$12","$12","Flash value"
"Phase 3: Esper Blink Completion","Land",1,"Castle Ardenvale","$2","$2","Token generator"
"Phase 3: Esper Blink Completion","Land",1,"Castle Vantress","$2","$2","Scry value"
"Phase 3: Esper Blink Completion","Sideboard","2","Consign to Memory","$3","$6","GY hate - 6+ top decks"
"Phase 3: Esper Blink Completion","Sideboard","2","Wrath of the Skies","$5","$10","Board wipe - 5+ top decks"
"Phase 3: Esper Blink Completion","Sideboard","2","Rest in Peace","$3","$6","GY hate"
"Phase 3: Esper Blink Completion","Sideboard","2","Damping Sphere","$2","$4","Anti-combo"
"Phase 3: Esper Blink Completion","Sideboard","1","Supreme Verdict","$4","$4","Uncounterable wipe"
"Phase 3: Esper Blink Completion","Sideboard","1","Dress Down","$3","$3","Creature hate"
"Phase 3: Esper Blink Completion","Sideboard","2","Veil of Summer","$4","$8","Anti-discard/counter"
"Phase 3: Esper Blink Completion","Sideboard","1","Narset, Parter of Veils","$8","$8","Card advantage hate"
"Phase 4a: Goryo's Vengeance","Creature",4,"Griselbrand","$35","$140","Reanimator target"
"Phase 4a: Goryo's Vengeance","Creature",4,"Atraxa, Grand Unifier","$25","$100","Reanimator target"
"Phase 4a: Goryo's Vengeance","Sorcery",4,"Goryo's Vengeance","$8","$32","Namesake card"
"Phase 4a: Goryo's Vengeance","Sorcery",4,"Faithful Mending","$3","$12","Already in Esper Blink"
"Phase 4a: Goryo's Vengeance","Fetchland",4,"Verdant Catacombs","$30","$120","B/G fetch for manabase"
"Phase 4a: Goryo's Vengeance","Shockland",2,"Overgrown Tomb","$12","$24","B/G shock"
"Phase 4a: Goryo's Vengeance","Creature",2,"Archon of Cruelty","$15","$30","Already in Esper Blink"
"Phase 4b: Esper Reanimator","Creature",4,"Archon of Cruelty","$15","$60","Main reanimator target"
"Phase 4b: Esper Reanimator","Sorcery",4,"Persist","$5","$20","Reanimation spell"
"Phase 4b: Esper Reanimator","Creature",4,"Psychic Frog","$8","$32","Discard outlet / threat"
"Phase 4b: Esper Reanimator","Creature",2,"Chancellor of the Annex","$4","$8","Free disruption"
"Phase 4b: Esper Reanimator","Instant",2,"Force of Negation","$22","$44","Already in Esper Blink"
"Phase 4c: Dimir Midrange","Creature",4,"Orcish Bowmasters","$35","$140","Format staple - 4+ top decks"
"Phase 4c: Dimir Midrange","Planeswalker",2,"Tamiyo, Inquisitive Student","$15","$30","Card advantage"
"Phase 4c: Dimir Midrange","Creature",4,"Psychic Frog","$8","$32","From Esper Reanimator"
